%time,field.name0,field.name1,field.pose0.position.x,field.pose0.position.y,field.pose0.position.z,field.pose0.orientation.x,field.pose0.orientation.y,field.pose0.orientation.z,field.pose0.orientation.w,field.pose1.position.x,field.pose1.position.y,field.pose1.position.z,field.pose1.orientation.x,field.pose1.orientation.y,field.pose1.orientation.z,field.pose1.orientation.w,field.twist0.linear.x,field.twist0.linear.y,field.twist0.linear.z,field.twist0.angular.x,field.twist0.angular.y,field.twist0.angular.z,field.twist1.linear.x,field.twist1.linear.y,field.twist1.linear.z,field.twist1.angular.x,field.twist1.angular.y,field.twist1.angular.z
240000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.21322959959e-12,-1.1708786718e-11,0.00500000001023,-6.95564158518e-12,-4.0906472806e-11,1.91866296831e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37609196149e-10,-2.75052145216e-10,2.60264960388e-10,-2.97269555687e-10,-2.06876461432e-09,6.80708860867e-10
241000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.03653760522e-12,-1.19080023619e-11,0.00500000001044,-7.0585342428e-12,-4.16789858058e-11,1.94387339538e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49731195097e-10,-2.89132650235e-10,2.72501424336e-10,-3.13398459407e-10,-2.17346979493e-09,7.15473640017e-10
242000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.84952053672e-12,-1.21190973923e-11,0.00500000001067,-7.1680970355e-12,-4.24960856282e-11,1.97055861585e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53354107212e-10,-2.93323564735e-10,2.7580477477e-10,-3.1845480157e-10,-2.20433397385e-09,7.25848830073e-10
243000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.65620295256e-12,-1.23373880556e-11,0.0050000000109,-7.28170715511e-12,-4.33402380318e-11,1.99813950439e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53462675594e-10,-2.93425382669e-10,2.75509939218e-10,-3.18878965412e-10,-2.20474528598e-09,7.26139378745e-10
244000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.45944367702e-12,-1.25597379719e-11,0.00500000001114,-7.3976284025e-12,-4.41998543432e-11,2.02623330302e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51561677063e-10,-2.91189388786e-10,2.73221190821e-10,-3.16595704797e-10,-2.18781285456e-09,7.2066381079e-10
245000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.25963128816e-12,-1.27853769238e-11,0.00500000001138,-7.51613653599e-12,-4.50710919374e-11,2.05474323325e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48671239045e-10,-2.87802317477e-10,2.699679389e-10,-3.12973809497e-10,-2.16234538147e-09,7.12349198207e-10
246000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.05454533994e-12,-1.30169972024e-11,0.00500000001161,-7.64198626022e-12,-4.59601759437e-11,2.08401006339e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44530222651e-10,-2.82962883289e-10,2.65963308359e-10,-3.07372876585e-10,-2.12646797291e-09,7.00449094754e-10
247000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-8.43825009866e-13,-1.32550082022e-11,0.00500000001183,-7.77534732312e-12,-4.68686060654e-11,2.1140814182e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39350893176e-10,-2.769276429e-10,2.63473005499e-10,-2.98838167025e-10,-2.08362508719e-09,6.85583810374e-10
248000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.33354479973e-13,-1.34925820516e-11,0.00500000001205,-7.90937876822e-12,-4.77746271055e-11,2.14411213394e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32903937278e-10,-2.69429729535e-10,2.62363466286e-10,-2.87079228677e-10,-2.03181560014e-09,6.67095246396e-10
249000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.26575441637e-13,-1.37257566424e-11,0.00500000001227,-8.03995820029e-12,-4.86657085828e-11,2.17360891737e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2665768552e-10,-2.6216828755e-10,2.62067732098e-10,-2.75216296215e-10,-1.98222783721e-09,6.49186041308e-10
250000000,DH_Ground,PONGBOT_LEG2_V1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.24875673638e-13,-1.39529707233e-11,0.00500000001248,-8.16608460751e-12,-4.95361478373e-11,2.20237810168e-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2093703082e-10,-2.55515956598e-10,2.6172846659e-10,-2.64385270446e-10,-1.93676028408e-09,6.32782171066e-10
